name,team,league,games,at_bats,runs,hits,doubles,triples,home_runs,rbis,stolen,caught,walks,strikeout,hbp,sf,ibb,id
Ben DeLuzio,STL,NL,22,20,3,3,1,0,0,0,0,1,3,5,1,0,0,deluzbe01
Travis Demeritte,ATL,NL,26,89,9,19,2,0,3,6,0,0,6,32,0,1,0,demertr01
Rafael Devers*,BOS,AL,141,555,84,164,42,1,27,88,3,1,50,114,6,3,11,deverra01
Aledmys Díaz,HOU,AL,92,305,35,74,13,0,12,38,1,1,18,53,2,2,0,diazal02
Edwin Díaz,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,diazed04
Elias Diaz,COL,NL,105,351,29,80,18,2,9,51,0,1,25,82,2,3,0,diazel01
Jordan Diaz,OAK,AL,15,49,3,13,3,0,0,1,0,0,2,7,0,0,0,diazjo03
Lewin Diaz*,MIA,NL,58,160,12,27,4,0,5,11,1,0,11,54,1,2,0,diazle01
Yainer Diaz,HOU,AL,6,8,0,1,1,0,0,1,0,0,1,2,0,0,0,diazya02
Yandy Díaz,TBR,AL,137,473,71,140,33,0,9,57,3,3,78,60,6,1,2,diazya01
Yusniel Diaz,BAL,AL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,diazyu01
Alex Dickerson*,ATL,NL,13,33,3,4,0,0,1,2,0,0,3,9,0,0,0,dickeal01
Corey Dickerson*,STL,NL,96,281,28,75,17,1,6,36,0,0,12,48,2,2,1,dickeco01
Wilmer Difo#,ARI,NL,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,difowi01
Brandon Dixon,SDP,NL,5,14,1,3,1,0,0,1,0,0,0,5,0,0,0,dixonbr01
Josh Donaldson,NYY,AL,132,478,59,106,28,0,15,62,2,2,54,148,8,6,1,donaljo02
Brendan Donovan*,STL,NL,126,391,64,110,21,1,5,45,2,3,60,70,14,2,1,donovbr01
Jeter Downs,BOS,AL,14,39,4,6,1,0,1,4,0,0,1,21,0,1,0,downsje01
Hunter Dozier,KCR,AL,128,462,51,109,26,4,12,41,4,3,34,125,3,1,0,doziehu01
Brandon Drury,TOT,NL,138,518,87,136,31,2,28,87,2,3,38,126,8,4,0,drurybr01
Brandon Drury,CIN,NL,92,350,62,96,22,2,20,59,2,2,29,84,4,2,0,drurybr01
Brandon Drury,SDP,NL,46,168,25,40,9,0,8,28,0,1,9,42,4,2,0,drurybr01
Mauricio Dubon,TOT,MLB,104,243,31,52,9,0,5,24,2,3,13,30,1,5,0,dubonma01
Mauricio Dubon,SFG,NL,21,46,10,11,1,0,2,8,0,0,1,4,0,2,0,dubonma01
Mauricio Dubon,HOU,AL,83,197,21,41,8,0,3,16,2,3,12,26,1,3,0,dubonma01
Tyler Duffey,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,duffety01
Matt Duffy,LAA,AL,77,228,14,57,8,0,2,16,0,0,17,50,2,0,0,duffyma01
Steven Duggar*,TOT,MLB,29,72,7,11,3,1,0,4,5,1,7,41,0,1,0,duggast01
Steven Duggar*,TOT,AL,17,36,5,4,0,1,0,0,1,1,5,25,0,0,0,duggast01
Steven Duggar*,SFG,NL,12,36,2,7,3,0,0,4,4,0,2,16,0,1,0,duggast01
Steven Duggar*,TEX,AL,8,17,2,3,0,0,0,0,1,1,2,12,0,0,0,duggast01
Steven Duggar*,LAA,AL,9,19,3,1,0,1,0,0,0,0,3,13,0,0,0,duggast01
Joe Dunand,MIA,NL,3,10,2,3,1,0,1,1,0,0,0,3,1,0,0,dunanjo01
Ezequiel Duran,TEX,AL,58,208,25,49,10,1,5,25,4,1,12,54,0,0,0,duranez01
Jarren Duran*,BOS,AL,58,204,23,45,14,3,3,17,7,1,14,63,4,1,0,duranja01
Jhoan Duran,MIN,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,duranjh01
Adam Duvall,ATL,NL,86,287,39,61,16,1,12,36,0,2,21,101,5,2,0,duvalad01
Nate Eaton,KCR,AL,44,106,16,28,4,3,1,12,11,1,10,30,2,3,0,eatonna01
Tommy Edman#,STL,NL,153,577,95,153,31,4,13,57,32,3,46,111,5,1,2,edmanto01
Drew Ellis,TOT,MLB,7,16,2,3,1,0,0,1,0,0,1,7,0,0,0,ellisdr01
Drew Ellis,ARI,NL,6,13,2,2,1,0,0,1,0,0,1,6,0,0,0,ellisdr01
Drew Ellis,SEA,AL,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,ellisdr01
Jerar Encarnacion,MIA,NL,23,77,7,14,3,0,3,14,2,0,3,32,0,1,0,encarje01
Adam Engel,CHW,AL,119,245,32,55,13,1,2,17,12,4,11,76,4,0,1,engelad01
Alcides Escobar,WSN,NL,40,124,12,27,4,2,0,8,1,1,5,32,2,0,0,escobal02
Eduardo Escobar#,NYM,NL,136,495,58,119,26,4,20,69,0,2,40,129,1,6,3,escobed01
Santiago Espinal,TOR,AL,135,449,51,120,25,0,7,51,6,6,36,68,2,3,1,espinsa01
Carlos Estevez,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,estevca01
Thairo Estrada,SFG,NL,140,488,71,127,23,2,14,62,21,6,33,89,14,5,0,estrath01
Stuart Fairchild,TOT,MLB,46,97,14,24,4,1,5,6,0,2,8,34,5,0,0,faircst01
Stuart Fairchild,TOT,NL,43,94,14,24,4,1,5,6,0,2,8,32,5,0,0,faircst01
Stuart Fairchild,SEA,AL,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,faircst01
Stuart Fairchild,SFG,NL,5,8,1,0,0,0,0,0,0,0,0,3,0,0,0,faircst01
Stuart Fairchild,CIN,NL,38,86,13,24,4,1,5,6,0,2,8,29,5,0,0,faircst01
Jeurys Familia,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,familje01
Jeurys Familia,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,familje01
Kyle Farmer,CIN,NL,145,526,58,134,25,1,14,78,4,3,33,99,16,6,0,farmeky01
Mario Feliciano,MIL,NL,2,4,0,1,0,0,0,0,0,0,1,1,0,0,0,felicma01
Freddy Fermin,KCR,AL,3,7,1,0,0,0,0,0,0,1,0,3,0,0,0,fermifr01
David Fletcher,LAA,AL,61,216,20,55,9,1,2,17,1,0,7,16,3,0,0,fletcda02
Wilmer Flores,SFG,NL,151,525,72,120,28,1,19,71,0,0,59,103,11,7,1,florewi01
Estevan Florial*,NYY,AL,17,31,4,3,0,0,0,1,2,0,3,13,1,0,0,flories01
Dylan Floro*,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,florody01
Mike Ford*,TOT,MLB,50,131,9,27,5,0,3,10,0,0,17,40,1,0,0,fordmi01
Mike Ford*,TOT,AL,44,120,9,26,5,0,3,8,0,0,16,38,1,0,0,fordmi01
Mike Ford*,TOT,NL,6,11,0,1,0,0,0,2,0,0,1,2,0,0,0,fordmi01
Mike Ford*,SFG,NL,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,fordmi01
Mike Ford*,SEA,AL,16,29,1,5,1,0,0,3,0,0,8,12,1,0,0,fordmi01
Mike Ford*,ATL,NL,5,7,0,0,0,0,0,0,0,0,1,2,0,0,0,fordmi01
